"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Permissions","6","0","Unauthenticated redirect","0"
"0","","1","Fleet","2","0","Deactivate and reactivate trailer","0"
"2","","0","Loads","0","0","Loads page accessible","0"
"0","","3","Permissions","13","0","Profile action buttons visibility","0"
"0","","1","Plan Limits","0","0","'Limit reached' modal: 'Maybe later' dismisses modal","0"
"2","","0","Profile","0","0","My Loads page","0"
"1","","0","Place a Bid","0","0","Bid form: empty submit blocks (validation)","0"
"0","","0","Plan Limits","0","1","Owner Operator: bids limit modal — 'Upgrade plan' navigates","0"
"0","","1","Company","1","0","Invite user","0"
"0","","0","Validation","1","0","Trip form: negative volume blocks Next","0"
"1","","0","Trips","2","0","Add trip","0"
"0","","5","Permissions","15","0","Direct URL access","0"
"0","","1","Plan Limits","0","0","Load Owner: company roles limit modal — 'Maybe later' dismisses","0"
"0","","1","Fleet","2","0","Delete trailer","0"
"0","","2","My Bids","4","0","Status filter tabs visible","0"
"0","","2","Usage","6","0","Free plan: metric card with correct limit","0"
"4","","0","Profile","0","0","Logout","0"
"0","","2","TMS","1","0","Fleet page renders heading, Add Truck button, tabs","0"
"0","","0","Usage Counter","1","0","Bids placed counter increments by 1 after placing a bid","0"
"0","","1","Company","1","0","Resend invitation","0"
"0","","0","Validation","1","0","Load form: negative weight blocks progress","0"
"1","","0","Place a Bid","0","0","Bid form: cancel button closes form","0"
"0","","1","Plan Limits","0","0","Company roles limit modal: 'Upgrade plan' navigates to upgrade page","0"
"0","","1","Plan Limits","0","0","Carrier: company employees limit modal — 'Maybe later' dismisses","0"
"0","","2","Company","0","0","Delete role","0"
"1","","1","Fleet","0","0","Edit truck","0"
"0","","0","Fleet","3","0","Create trailer","0"
"2","","0","Loads","0","0","Filter: In Transit","0"
"4","","0","Profile","0","0","Open profile page","0"
"0","","0","Permissions","1","0","Cross-user: trip SAVE attack (defense in depth)","0"
"0","","0","Login","1","0","Empty email","0"
"0","","1","Plan Limits","0","0","Bookings limit modal: 'Upgrade plan' navigates to upgrade page","0"
"0","","0","Permissions","8","0","Add menu — role-based visibility","0"
"0","","2","TMS","2","0","Orders page renders heading and table columns","0"
"0","","1","Plan Limits","0","0","Carrier: fleet limit modal — 'Close' dismisses","0"
"3","","0","Profile","0","0","My trips page","0"
"0","","2","Usage","2","0","Page accessible to all roles","0"
"0","","0","My Bids","4","0","Page accessible to all roles","0"
"0","","0","Loads","2","0","Create load","0"
"1","","0","Place a Bid","0","0","Place a bid button click opens bid form","0"
"1","","1","Loads","0","0","Edit load","0"
"0","","0","Plan Limits","0","1","Owner Operator: active transport modal — dismiss","0"
"0","","0","Received Bids","4","0","Page accessible to all roles","0"
"3","","0","Profile","0","0","Fleet page","0"
"0","","1","Fleet","1","0","Delete truck","0"
"0","","1","Plan Limits","0","0","Carrier: bids limit modal — 'Upgrade plan' navigates","0"
"3","","0","Trips","0","0","Edit trip","0"
"6","","0","E2E Bid Lifecycle","0","0","","0"
"0","","0","Plan Limits","0","1","Carrier Free plan: company employees limit enforcement","0"
"0","","0","Plan Limits","0","1","Carrier Free plan: company roles limit enforcement","0"
"1","","0","Plan Limits","0","0","Owner Operator Free plan: bids placed limit enforcement","0"
"3","","0","E2E Bid Flow","0","0","","0"
"3","","0","Trips","0","0","Delete trip","0"
"0","","1","Plan Limits","0","0","Bookings limit modal: 'Maybe later' dismisses modal","0"
"0","","0","Permissions","1","0","Cross-user: load SAVE attack (defense in depth)","0"
"0","","1","Plan Limits","0","0","Carrier Free plan: fleet size limit enforcement","0"
"0","","0","My Bids","4","0","Clicking a status filter keeps user on the page","0"
"0","","1","Loads","1","0","Delete load","0"
"0","","0","Usage","1","0","Current plan: Free","0"
"0","","1","Plan Limits","0","0","'Limit reached' modal: 'Upgrade plan' navigates to upgrade page","0"
"0","","2","Permissions","2","0","Sidebar visibility per role","0"
"0","","3","Fleet","0","0","Edit trailer","0"
"0","","0","Plan Limits","0","1","Load Owner: bids limit modal - 'Upgrade plan' navigates","0"
"0","","0","Loads search","3","0","Search form is visible to all logged-in roles","0"
"0","","1","Plan Limits","0","0","Load Owner: company roles limit modal — 'Upgrade plan' navigates","0"
"0","","0","Plan Limits","0","1","Owner Operator: active transport modal — 'Upgrade plan' navigates","0"
"0","","1","Loads search","0","0","Search by 'From' city filters results","0"
"0","","0","Login","1","0","Valid login","0"
"0","","1","Usage","0","0","Upgrade plan button visible","0"
"0","","1","Permissions","0","0","Cross-user: my loads list isolation","0"
"0","","0","Validation","1","0","Load form: missing weight blocks progress","0"
"0","","0","Plan Limits","0","1","Free plan: fill company roles to limit and verify 'Limit reached' modal","0"
"2","","0","Loads","0","0","Filter: In Contract","0"
"0","","0","Login","1","0","Invalid credentials","0"
"0","","0","Validation","1","0","Trip form: empty form blocks Next","0"
"1","","0","Plan Limits","0","0","Carrier: company roles limit modal — 'Upgrade plan' navigates","0"
